item,count,ref_nos
construction of police modern school at police line distt- bahraich ( u. p. ),4,"[""['149/PAN/CUG/E-TENDER/20-21 dt. 10-06-2020']"", ""['891/PAN/CUG/E-TENDER/19-20 Dt. 18-01-2020']"", ""['904/PAN/CUG/19-20 Dt- 23-01-2020']"", ""['1084/PAN/CUG/E-TENDERING/19-20 Dt- 24-02-2020']""]"
construction of police modern school at police line distt- bahraich ( painting work ),1,"[""['276/PAN/CUG/E-TENDER/20-21 dt. 08-07-2020']""]"
supply of materials construction of police modern school at police line distt- bahraich,1,"[""['148/PAN/CUG/E-TENDER/20-21 dt. 10-06-2020']""]"
selection of agency for facility management services for police bhawan ( police hqrs. lucknow ),1,"[""['Equip Cell-sign bldg-2019']""]"
mdt ( mobile data terminal ) device for police station/ offices of up police department,1,"[""['TS-CCTNS-96/2017 PART (VI)']""]"
2- special repairs to the floor in front of the addl. superintendent of police in the police office,1,"[""['P-70/2017 dt. 03-01-2018']""]"
strengthening of power supply work,1,"[""['2473/7CBW-17E/M/17']""]"
rewiring of police barrick at police line lucknow,1,"[""['2473/7CBW-17E/M/17']""]"
result for construction of transit hostel at police commissionerate ghaziabad police line of district ghaziabad,1,"[""['NIT No. 06/Vividh-12/01 Dt. 04-01-2025']""]"
construction of police modern school at police line distt- bahraich ( submersible pupm with boring ),1,"[""['414/PAN/CUG/E-TENDER/20-21 dt. 07-08-2020']""]"
police line parisor me police bal verik to toilet interlocking tile,1,"[""['1435/nppmainpuri/78']""]"
drain work.,1,"[""['1435/nppmainpuri/78']""]"
prison van police vehicles,8,"[""['GEM/2022/B/2668186', 'GEM/2022/R/150041']"", ""['GEM/2022/B/1946623']"", ""['GEM/2022/B/2289002', 'GEM/2022/R/118443']"", ""['GEM/2022/B/2668320', 'GEM/2022/R/150042']"", ""['GEM/2021/B/1792905']"", ""['GEM/2022/B/1857408']"", ""['GEM/2022/B/2289002']"", ""['GEM/2022/B/2380520']""]"
ledies toilet in police station,1,"[""['RV-NPPD/03-08-2022/01']""]"
shergarh.,1,"[""['NIT No.2/2020-21 of EE PWD Division Shergarh']""]"
repair of police thana,1,"[""['NIT No.2/2020-21 of EE PWD Division Shergarh']""]"
troop carrier police vehicles,2,"[""['GEM/2019/B/435345']"", ""['GEM/2019/B/296285']""]"
police colony construction work,1,"[""['102 dated 5.01.2018']""]"
construction of police thana at  hathuniya,1,"[""['NIT No. 02-2011-12 SE Pratapgarh']""]"
c. c. interlocking work at police modern school reserve police line lucknow u. p.,1,"[""['4751/PAN/ET/24-25, DT. 02-01-2025']""]"
construction of police modern senior secondry school at police line mathura distt mathura u. p.,1,"[""['2872/PAN/ET/24-25, DT. 03-09-2024']""]"
construction of different work at police modern school,1,"[""['4297/PAN/ET/23-24,  DT. 22-09-2023']""]"
reserve police line at distt etawah u. p.,1,"[""['4297/PAN/ET/23-24,  DT. 22-09-2023']""]"
beautification,1,"[""['BH-59/2022(Pratav) Dt 06.10.2022']""]"
expansion work of canteen for the welfare of police personnel in district etah police office premises,1,"[""['BH-59/2022(Pratav) Dt 06.10.2022']""]"
