MP Police,,
item,count,ref_nos
1repairing work of painting work for new land old double story total qtrs 48 at 5th bn morena 2 interior exterior painting work ground floor first floor administration building at 5th bn morena ( except interior 01 dc office 03 ac office e,1,02/2021-22
construction of vehicle shed eow bhopal.,1,12/2022-23
construction for septic tank,1,15/2020-21
construction of semi urban thana bamhorikalan tikamgarh distt tikamgarh,1,01/2025-26
door repair work at 15th bn.,1,02/2024-25/2
57,1,4004/24
software ),1,207/2022
agar malwa,10,"10/2019-20-2, NIT 21/2023-24_1, 19/2019-20-5, 35/2018-19, NIT 05/2022-23_4, NIT 21/2023-24_3, NIT 21/2023-24_2, NIT 11/2022-23_1, NIT 24/2021-22_2, NIT 20/2022-23_1"
construction of shed work for d. g. generator shed at pts rewa,1,17/2019-20
residential bulding block- f,1,SP/Ujjain/RI/3409A/2023
2f2g2h type quarters at khargapur distt tikamgrh,1,11/2023-24
m. p.,1,03/2020-21
construction of 2nos wc,1,12/2018-19/1
construction of c. m. rise school jaal seva,1,NIT 14/2022-23_2
various additional work for final range skeet range no. 1 2 3,1,45/2023-24
chainlink fancing work at stadium of sports department,1,NIT 10/2021-22
kathiwada,1,01/2024-25/9
museum renovation jnpa sagar,1,16/2021-22
light weight b. r. jacket,1,SB/STORE/2024-25(69) BHOPAL DATED 26.02.2024
construction of road from sp office to newly constructed armoury,1,05/2019-20/4
construction of police chowki at singrampur distt damoh,1,22/2023-24
construction of police chowki pathraula distt sidhi,1,12/2019-20
rajbhavan security cctv camera,1,SPHQASPTFC956
e tender for rate contract for computer printer,1,SCPH/STORE/D-119/2023
external electrification shifting work for cm rise school mehgaon distt bhind,1,25/2022-23
01f01g01h qrs chc batiyagarh damoh,1,52/2018-19
painting work fire hq bhopal,1,003/2021-22
construction of semi urban thana sagor distt. dhar,1,19/2018-19/7
construction of semi urban thana building senawal dist datia,1,13/2019-20
construction of chowkey besra sagar,1,21/2019-20
other equpment at rajbhawan,1,DCP/HQ/62/23
construction of 400 mtr synthetic atheletic track ( top layers over subgrade ) at nanakheda stadium,1,NIT 10/2022-23
suraksha wall at dig office campus balaghat.,1,17 / 2019-20
24 qtrs at drp line narsinghpur,1,14/2019-20
renovation work of kesla thana hoshangabad,1,06/2021-22
02 no. others building at c. m. rise school garoth distt. mandsaur,1,NIT 04/2023-24_1
result for construction work of govt. girls primary school,1,NIT 21/2024-25_1
construction of mahila desk ( fir room ) atrela dist rewa,1,16/2018-19
pumps etc. for forensic science lab,1,39/2018-19
second floors of the police barrack in bhairugarh police station premises.,1,169E
hidden camera,1,"SB/STORE/2020-25 (349), BHOPAL DATED 17-8-2020"
rep. work for hospital building,1,11/2019-20-1
tile floor h type 19 qrs telcom bhopal,1,02/2019-20
carpenter workshop building material purchase,1,1STBN/QM/P-2259
raptc mtd dry grass 326,1,RPATC MTD GRASS 326
bhatpachlana distt. ujjain,2,"NIT 07/2022-23_4, 19/2019-20-3"
result for construction work one room kitchen with toilet at home guard distt sheopur,1,05/2024-25
habibganj,1,11/2023-24
construction of cement concrete road from 32 qtrs. to 72 qtrs.,1,16/2020-21
360 degree 4k spherical camera,1,"SB/STORE/2020-25 (349), BHOPAL DATED 17-8-2020"
repairing/ renovation/ various works in administrative building at eow office bhopal,1,40/2023-24
flooring work for 68 qrts. at 32 nd bn. saf ujjain.,1,20/2019-20-1
lt line extension work police chowki dholkhedi dist vidisha,1,13/2022-23
third,1,13/2023-24
construction of drain for rain water at police radio headquarter campus bhopal,1,32/2023-24
toilet for ladies fir room at thana kotwali distt gwalior,1,30/2018-19
reair,1,2210/2024
construction of mahila desk at thana ajk distt seoni,1,04/2020-21
other items for the constable gd,1,32BN/SAF/QM/M3761
construction of toilet work at mahila thana,1,01/2024-25
retender amc for cctv,1,DCP/HQ/62/23
stationery items,3,"SB/STORE/2021-24(473) DT. 16.12.2021, DCP/IND/HQ/RK/172/2024, SB/STORE/2019-24 (345) DT. 5-11-19"
